"Statistic Label"                                      ,"Census Year" ,"Sex"        ,"Citizenship"                                                          ,"Administrative County"                 ,"UNIT"   ,"VALUE"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Waterford City & County Council"       ,"Number" ,"95"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Galway City Council"                   ,"Number" ,"138"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Galway County Council"                 ,"Number" ,"137"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Leitrim County Council"                ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Mayo  County Council"                  ,"Number" ,"47"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Roscommon County Council"              ,"Number" ,"52"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Sligo County Council"                  ,"Number" ,"35"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Cavan County Council"                  ,"Number" ,"47"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Donegal County Council"                ,"Number" ,"59"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Monaghan County Council"               ,"Number" ,"24"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Ireland"                               ,"Number" ,"777"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Carlow County Council"                 ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Dublin City Council"                   ,"Number" ,"100"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"52"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Fingal County Council"                 ,"Number" ,"113"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"South Dublin County Council"           ,"Number" ,"75"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Kildare County Council"                ,"Number" ,"50"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Kilkenny County Council"               ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Laois County Council"                  ,"Number" ,"31"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Longford County Council"               ,"Number" ,"12"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Louth County Council"                  ,"Number" ,"17"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Meath County Council"                  ,"Number" ,"24"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Offaly County Council"                 ,"Number" ,"29"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Westmeath County Council"              ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Wexford County Council"                ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Bulgaria"                                                   ,"Wicklow County Council"                ,"Number" ,"15"
